,package,folder,file,class_name,is_dataclass,is_subclass,has_init,num_methods,num_autoassign_methods,num_ordinary_methods
0,retrying.py,/home/quimey/.local/lib/python3.9/site-packages,retrying.py,Retrying,False,True,True,,0,12.0
1,retrying.py,/home/quimey/.local/lib/python3.9/site-packages,retrying.py,Attempt,False,True,True,,1,2.0
2,retrying.py,/home/quimey/.local/lib/python3.9/site-packages,retrying.py,RetryError,False,True,True,,1,1.0
0,decorator.py,/home/quimey/.local/lib/python3.9/site-packages,decorator.py,FunctionMaker,False,True,True,,0,4.0
1,decorator.py,/home/quimey/.local/lib/python3.9/site-packages,decorator.py,ContextManager,False,True,True,,0,2.0
0,mistune.py,/home/quimey/.local/lib/python3.9/site-packages,mistune.py,BlockGrammar,False,True,False,,0,0.0
1,mistune.py,/home/quimey/.local/lib/python3.9/site-packages,mistune.py,BlockLexer,False,True,True,,1,20.0
2,mistune.py,/home/quimey/.local/lib/python3.9/site-packages,mistune.py,InlineGrammar,False,True,False,,0,1.0
3,mistune.py,/home/quimey/.local/lib/python3.9/site-packages,mistune.py,InlineLexer,False,True,True,,1,18.0
4,mistune.py,/home/quimey/.local/lib/python3.9/site-packages,mistune.py,Renderer,False,True,True,,0,28.0
5,mistune.py,/home/quimey/.local/lib/python3.9/site-packages,mistune.py,Markdown,False,True,True,,1,22.0
0,threadpoolctl.py,/home/quimey/.local/lib/python3.9/site-packages,threadpoolctl.py,_dl_phdr_info,False,True,False,,0,0.0
1,threadpoolctl.py,/home/quimey/.local/lib/python3.9/site-packages,threadpoolctl.py,_ThreadpoolLimiter,False,False,True,,0,8.0
2,threadpoolctl.py,/home/quimey/.local/lib/python3.9/site-packages,threadpoolctl.py,_ThreadpoolLimiterDecorator,False,True,True,,0,2.0
3,threadpoolctl.py,/home/quimey/.local/lib/python3.9/site-packages,threadpoolctl.py,threadpool_limits,False,True,True,,0,2.0
4,threadpoolctl.py,/home/quimey/.local/lib/python3.9/site-packages,threadpoolctl.py,ThreadpoolController,False,False,True,,0,17.0
5,threadpoolctl.py,/home/quimey/.local/lib/python3.9/site-packages,threadpoolctl.py,LibController,False,True,True,,1,5.0
6,threadpoolctl.py,/home/quimey/.local/lib/python3.9/site-packages,threadpoolctl.py,OpenBLASController,False,True,True,,0,6.0
7,threadpoolctl.py,/home/quimey/.local/lib/python3.9/site-packages,threadpoolctl.py,BLISController,False,True,True,,0,6.0
8,threadpoolctl.py,/home/quimey/.local/lib/python3.9/site-packages,threadpoolctl.py,MKLController,False,True,True,,0,5.0
9,threadpoolctl.py,/home/quimey/.local/lib/python3.9/site-packages,threadpoolctl.py,OpenMPController,False,True,False,,0,3.0
0,entrypoints.py,/home/quimey/.local/lib/python3.9/site-packages,entrypoints.py,BadEntryPoint,False,True,True,,1,2
1,entrypoints.py,/home/quimey/.local/lib/python3.9/site-packages,entrypoints.py,NoSuchEntryPoint,False,True,True,,1,1
2,entrypoints.py,/home/quimey/.local/lib/python3.9/site-packages,entrypoints.py,CaseSensitiveConfigParser,False,True,False,,0,0
3,entrypoints.py,/home/quimey/.local/lib/python3.9/site-packages,entrypoints.py,EntryPoint,False,True,True,,1,3
4,entrypoints.py,/home/quimey/.local/lib/python3.9/site-packages,entrypoints.py,Distribution,False,True,True,,1,2
0,rfc3339.py,/home/quimey/.local/lib/python3.9/site-packages,rfc3339.py,LocalTimeTestCase,False,True,False,,0,12
0,typing_extensions.py,/home/quimey/.local/lib/python3.9/site-packages,typing_extensions.py,_ExtensionsGenericMeta,False,True,False,,0,1
1,typing_extensions.py,/home/quimey/.local/lib/python3.9/site-packages,typing_extensions.py,TypeVarTuple,False,False,True,,0,7
0,mypy_extensions.py,/home/quimey/.local/lib/python3.9/site-packages,mypy_extensions.py,_TypedDictMeta,False,True,False,,0,1
1,mypy_extensions.py,/home/quimey/.local/lib/python3.9/site-packages,mypy_extensions.py,NoReturn,False,False,False,,0,0
2,mypy_extensions.py,/home/quimey/.local/lib/python3.9/site-packages,mypy_extensions.py,_FlexibleAliasClsApplied,False,False,True,,1,1
3,mypy_extensions.py,/home/quimey/.local/lib/python3.9/site-packages,mypy_extensions.py,_FlexibleAliasCls,False,False,False,,0,1
0,pickleshare.py,/home/quimey/.local/lib/python3.9/site-packages,pickleshare.py,PickleShareDB,False,True,True,,0,16
1,pickleshare.py,/home/quimey/.local/lib/python3.9/site-packages,pickleshare.py,PickleShareLink,False,False,True,,0,4
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,workspaces_handler.py,WorkspacesManager,False,True,True,,0,5
1,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,workspaces_handler.py,WorkspacesHandler,False,True,False,,1,3
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,process_app.py,ProcessApp,False,True,False,,0,5
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,translation_utils.py,TranslationBundle,False,False,True,,0,10
1,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,translation_utils.py,translator,False,False,False,,0,6
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,handlers.py,LabHandler,False,True,False,,0,2
1,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,handlers.py,NotFoundHandler,False,True,False,,0,1
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,settings_handler.py,SettingsHandler,False,True,False,,0,3
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,licenses_handler.py,LicensesManager,False,True,False,,0,9
1,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,licenses_handler.py,LicensesHandler,False,True,False,,1,1
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,process.py,Process,False,True,True,,1,5
1,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,process.py,WatchHelper,False,True,True,,0,4
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,themes_handler.py,ThemesHandler,False,True,False,,1,3
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,translations_handler.py,TranslationsHandler,False,True,False,,0,1
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,config.py,LabConfig,False,True,False,,0,12
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,app.py,LabServerApp,False,True,False,,0,5
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,listings_handler.py,ListingsHandler,False,True,False,,0,1
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,settings_utils.py,SchemaHandler,False,True,False,,1,1
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,workspaces_app.py,WorkspaceListApp,False,True,False,,0,2
1,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,workspaces_app.py,WorkspaceExportApp,False,True,False,,0,2
2,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,workspaces_app.py,WorkspaceImportApp,False,True,False,,0,4
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,licenses_app.py,LicensesApp,False,True,False,,0,3
0,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,decoder.py,TomlDecodeError,False,True,True,,1,0
1,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,decoder.py,CommentValue,False,True,True,,1,3
2,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,decoder.py,InlineTableDict,False,True,False,,0,0
3,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,decoder.py,TomlDecoder,False,True,True,,1,12
4,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,decoder.py,TomlPreserveCommentDecoder,False,True,True,,0,3
0,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,ordered.py,TomlOrderedDecoder,False,True,True,,0,1
1,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,ordered.py,TomlOrderedEncoder,False,True,True,,0,1
0,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,encoder.py,TomlEncoder,False,True,True,,1,5
1,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,encoder.py,TomlPreserveInlineDictEncoder,False,True,True,,0,1
2,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,encoder.py,TomlArraySeparatorEncoder,False,True,True,,1,1
3,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,encoder.py,TomlNumpyEncoder,False,True,True,,0,2
4,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,encoder.py,TomlPreserveCommentEncoder,False,True,True,,0,1
5,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,encoder.py,TomlPathlibEncoder,False,True,False,,0,2
0,toml,/home/quimey/.local/lib/python3.9/site-packages/toml,tz.py,TomlTz,False,True,True,,0,5
0,h5py,/home/quimey/.local/lib/python3.9/site-packages/h5py,h5py_warnings.py,H5pyWarning,False,True,False,,0,0
1,h5py,/home/quimey/.local/lib/python3.9/site-packages/h5py,h5py_warnings.py,H5pyDeprecationWarning,False,True,False,,0,0
0,h5py,/home/quimey/.local/lib/python3.9/site-packages/h5py/_hl,files.py,File,False,True,True,,0,14
0,h5py,/home/quimey/.local/lib/python3.9/site-packages/h5py/_hl,filters.py,FilterRefBase,False,True,False,,0,5
