,package,folder,file,class_name,fun_name,self_candidate,num_ordinary_params,num_autoassign_params
0,retrying.py,/home/quimey/.local/lib/python3.9/site-packages,retrying.py,RetryError,__init__,self,0,1
0,mistune.py,/home/quimey/.local/lib/python3.9/site-packages,mistune.py,Markdown,__init__,self,2,1
0,entrypoints.py,/home/quimey/.local/lib/python3.9/site-packages,entrypoints.py,Distribution,__init__,self,0,2
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,workspaces_handler.py,WorkspacesHandler,initialize,self,1,1
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,licenses_handler.py,LicensesHandler,initialize,self,0,1
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,themes_handler.py,ThemesHandler,initialize,self,4,1
0,jupyterlab_server,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab_server,settings_utils.py,SchemaHandler,initialize,self,0,4
0,h5py,/home/quimey/.local/lib/python3.9/site-packages/h5py/_hl,selections2.py,ScalarReadSelection,__init__,self,1,1
0,h5py,/home/quimey/.local/lib/python3.9/site-packages/h5py/_hl,vds.py,VirtualLayout,__init__,self,2,1
0,babel,/home/quimey/.local/lib/python3.9/site-packages/babel,core.py,Locale,__init__,self,0,4
0,babel,/home/quimey/.local/lib/python3.9/site-packages/babel,numbers.py,NumberPattern,__init__,self,0,8
0,babel,/home/quimey/.local/lib/python3.9/site-packages/babel,dates.py,DateTimeFormat,__init__,self,1,1
0,babel,/home/quimey/.local/lib/python3.9/site-packages/babel,localedata.py,LocaleDataDict,__init__,self,1,1
0,babel,/home/quimey/.local/lib/python3.9/site-packages/babel/messages,pofile.py,PoFileParser,__init__,self,0,3
1,babel,/home/quimey/.local/lib/python3.9/site-packages/babel/messages,pofile.py,PoFileParser,_process_keyword_line,self,2,1
0,babel,/home/quimey/.local/lib/python3.9/site-packages/babel/messages,catalog.py,Catalog,__init__,self,8,5
0,pylatexenc,/home/quimey/.local/lib/python3.9/site-packages/pylatexenc/macrospec,_argparsers.py,VerbatimArgsParser,__init__,self,0,1
0,pylatexenc,/home/quimey/.local/lib/python3.9/site-packages/pylatexenc/latexencode,_partial_latex_encoder.py,PartialLatexToLatexEncoder,__init__,self,1,1
0,pylatexenc,/home/quimey/.local/lib/python3.9/site-packages/pylatexenc/latexwalker,__init__.py,LatexWalker,__init__,self,1,1
0,jwt,/home/quimey/.local/lib/python3.9/site-packages/jwt,exceptions.py,MissingRequiredClaimError,__init__,self,0,1
0,jwt,/home/quimey/.local/lib/python3.9/site-packages/jwt,algorithms.py,HMACAlgorithm,__init__,self,0,1
0,jwt,/home/quimey/.local/lib/python3.9/site-packages/jwt/contrib/algorithms,pycrypto.py,RSAAlgorithm,__init__,self,0,1
0,jwt,/home/quimey/.local/lib/python3.9/site-packages/jwt/contrib/algorithms,py_ecdsa.py,ECAlgorithm,__init__,self,0,1
0,anyio,/home/quimey/.local/lib/python3.9/site-packages/anyio/_core,_synchronization.py,ResourceGuard,__init__,self,0,1
0,traitlets,/home/quimey/.local/lib/python3.9/site-packages/traitlets/utils,sentinel.py,Sentinel,__init__,self,1,2
0,black,/home/quimey/.local/lib/python3.9/site-packages/black,linegen.py,LineGenerator,__init__,self,0,1
0,jupyterlab,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab,utils.py,deprecated,__init__,self,0,3
0,jupyterlab,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab,semver.py,Range,__init__,self,1,1
0,jupyterlab,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab/handlers,error_handler.py,ErrorHandler,initialize,self,1,1
0,jupyterlab,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab/handlers,build_handler.py,BuildHandler,initialize,self,1,1
0,jupyterlab,/home/quimey/.local/lib/python3.9/site-packages/jupyterlab/handlers,extension_manager_handler.py,ExtensionHandler,initialize,self,1,1
0,pydantic,/home/quimey/.local/lib/python3.9/site-packages/pydantic,class_validators.py,ValidatorGroup,__init__,self,0,1
0,pydantic,/home/quimey/.local/lib/python3.9/site-packages/pydantic,mypy.py,ModelConfigData,__init__,self,0,6
0,pydantic,/home/quimey/.local/lib/python3.9/site-packages/pydantic,validators.py,IfConfig,__init__,self,0,1
0,pydantic,/home/quimey/.local/lib/python3.9/site-packages/pydantic,utils.py,ClassAttribute,__init__,self,0,2
0,pydantic,/home/quimey/.local/lib/python3.9/site-packages/pydantic,schema.py,SkipField,__init__,self,0,1
0,pydantic,/home/quimey/.local/lib/python3.9/site-packages/pydantic,error_wrappers.py,ValidationError,__init__,self,1,1
0,jupyter_server,/home/quimey/.local/lib/python3.9/site-packages/jupyter_server/extension,manager.py,ExtensionManager,from_config_manager,self,0,1
0,jupyter_server,/home/quimey/.local/lib/python3.9/site-packages/jupyter_server/extension,handler.py,ExtensionHandlerMixin,initialize,self,0,1
